host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2008,2,1,1,1,NA,125,750,2250,0,75,30,1125,4,Yes,100
2009,2,1,1,1,225,145,980,3000,0,40,3,730,32,Yes,100
2009,4,1,1,2,NA,169,NA,NA,NA,70,3,730,40,Yes,100
2009,2,1,1,1,NA,65,395,1350,0,0,3,60,60,No,100
2009,2,1,1,1,NA,99,1200,2900,1000,150,14,365,43,Yes,100
2009,2,1,1,1,NA,154,750,2900,1000,250,20,365,1,Yes,100
2009,1,1,1,1,NA,100,450,1500,500,100,14,365,0,Yes,100
2008,4,2,2,2,NA,225,1400,3600,NA,80,7,365,0,Yes,100
2009,1,1,1,1,NA,115,NA,NA,NA,NA,1,90,0,Yes,NA
2009,2,1,1,1,NA,80,NA,NA,NA,NA,1,730,0,Yes,NA
2009,4,0,1,2,NA,100,NA,NA,NA,NA,1,60,0,Yes,NA
2009,5,1,2,4,NA,250,NA,NA,NA,NA,4,365,0,Yes,NA
2009,3,1,0,2,NA,189,NA,2250,NA,100,1,730,46,Yes,99
2009,3,1,0,1,NA,189,800,2250,NA,100,3,730,83,Yes,99
2009,2,1,0,1,NA,99,NA,NA,0,145,5,730,83,Yes,99
2009,3,1,1,1,NA,145,800,3200,1000,250,14,365,4,Yes,100
2009,6,3,3,3,NA,414,NA,9950,NA,NA,2,1125,61,Yes,76
2009,6,2,3,3,NA,389,NA,9800,NA,NA,3,1125,62,Yes,76
2010,7,1,3,3,1200,126,1375,3500,250,125,2,365,58,Yes,99
2010,1,NA,1,1,NA,148,NA,NA,0,21,1,90,59,Yes,100
2010,2,1,0,1,NA,175,1000,2400,0,75,30,365,3,Yes,100
2010,5,2,2,3,0,270,1700,NA,0,0,1,30,26,No,100
2010,4,1,1,2,NA,55,NA,NA,100,25,1,365,6,Yes,99
2010,2,1,1,1,NA,185,1100,3500,200,60,3,365,72,No,100
2010,2,1,1,1,NA,221,1500,3900,0,25,2,21,28,No,100
2010,4,2.5,1,2,NA,43,NA,1350,100,25,1,365,58,Yes,99
2010,2,1,1,1,NA,165,NA,2750,0,100,4,90,1,No,100
2010,2,1,1,1,NA,95,600,1600,NA,NA,4,180,0,No,100
2010,2,1,1,1,NA,184,1300,3900,0,25,2,21,28,No,100
2010,3,1,1,1,NA,100,NA,NA,NA,100,3,180,90,No,100
2010,3,1.5,1,3,NA,50,NA,NA,100,20,1,365,68,Yes,99
2009,2,1,0,1,NA,279,NA,NA,NA,NA,2,730,84,Yes,76
2010,12,2,4,5,2000,700,3400,6500,500,150,3,365,55,Yes,100
2010,2,1,1,1,NA,105,NA,NA,NA,NA,5,90,3,No,100
2010,1,1,1,1,NA,70,NA,NA,0,0,2,120,41,Yes,100
